Username,Password,UserType
admin,admin123,admin
10001,10001,user
10002,10002,user
10003,10003,user
10004,10004,user
10005,10005,user
10006,10006,user
10007,10007,user
10008,10008,user
10009,10009,user
10010,10010,user
10011,10011,user
10012,10012,user
10013,10013,user
10014,10014,user
10015,10015,user
10016,10016,user
10017,10017,user
10018,10018,user
10019,10019,user
10020,10020,user
10021,10021,user
10022,10022,user
10023,10023,user
10024,10024,user
10025,10025,user
10026,10026,user
10027,10027,user
10028,10028,user
10029,10029,user
10030,10030,user
10031,10031,user
10032,10032,user
10033,10033,user
10034,10034,user
